variable_1,variable_2,correlation
is_winter,is_summer,-0.33333333333333326
is_black_friday_month,is_summer,-0.12038585308576923
revenue_per_order,is_summer,0.06952117616402642
revenue_per_customer,is_summer,0.06952117616402642
revenue_per_item,is_summer,0.0906096165360414
seasonal_avg_revenue,is_summer,0.3614200764232741
seasonal_index,is_summer,1.4596884581788204e-17
revenue_3mo_avg,is_summer,0.24081461274543312
mom_growth_rate,is_summer,-0.1316576585357966
monthly_revenue,is_winter,-0.1364647385448403
total_orders,is_winter,-0.09791723140081073
total_items_sold,is_winter,-0.10062161419336768
avg_order_value,is_winter,-0.32904440725292056
unique_customers,is_winter,-0.09791723140081073
unique_products,is_winter,-0.14558275154727696
is_summer,is_winter,-0.33333333333333326
is_winter,is_winter,1.0
is_black_friday_month,is_winter,-0.12038585308576923
revenue_per_order,is_winter,-0.34792009327441303
revenue_per_customer,is_winter,-0.34792009327441303
revenue_per_item,is_winter,-0.32904440725292056
seasonal_avg_revenue,is_winter,-0.23804660423551546
seasonal_index,is_winter,7.298442290894102e-18
revenue_3mo_avg,is_winter,-0.1674130351782746
mom_growth_rate,is_winter,0.35436217048755336
monthly_revenue,is_black_friday_month,0.26479183240960835
total_orders,is_black_friday_month,0.27201868038921356
total_items_sold,is_black_friday_month,0.282359083428755
avg_order_value,is_black_friday_month,0.007054027055585574
unique_customers,is_black_friday_month,0.27201868038921356
unique_products,is_black_friday_month,0.2594710025137934
is_summer,is_black_friday_month,-0.12038585308576923
is_winter,is_black_friday_month,-0.12038585308576923
is_black_friday_month,is_black_friday_month,1.0
revenue_per_order,is_black_friday_month,0.02493194674376294
revenue_per_customer,is_black_friday_month,0.02493194674376294
revenue_per_item,is_black_friday_month,0.007054027055585581
seasonal_avg_revenue,is_black_friday_month,0.4618980493169329
seasonal_index,is_black_friday_month,2.96537355467958e-17
revenue_3mo_avg,is_black_friday_month,0.1293556511216523
mom_growth_rate,is_black_friday_month,-0.04716916919414014
monthly_revenue,revenue_per_order,0.33021113646067707
total_orders,revenue_per_order,0.3105087283328065
total_items_sold,revenue_per_order,0.31090983955932316
avg_order_value,revenue_per_order,0.9738917091007077
unique_customers,revenue_per_order,0.3105087283328065
unique_products,revenue_per_order,0.3392087574139814
is_summer,revenue_per_order,0.06952117616402642
is_winter,revenue_per_order,-0.34792009327441303
is_black_friday_month,revenue_per_order,0.02493194674376294
revenue_per_order,revenue_per_order,1.0
revenue_per_customer,revenue_per_order,1.0
revenue_per_item,revenue_per_order,0.9738917091007077
seasonal_avg_revenue,revenue_per_order,0.24381623919022338
seasonal_index,revenue_per_order,0.30696888336320793
revenue_3mo_avg,revenue_per_order,0.3336399971466498
mom_growth_rate,revenue_per_order,0.12864287229267582
monthly_revenue,revenue_per_customer,0.33021113646067707
total_orders,revenue_per_customer,0.3105087283328065
total_items_sold,revenue_per_customer,0.31090983955932316
avg_order_value,revenue_per_customer,0.9738917091007077
unique_customers,revenue_per_customer,0.3105087283328065
unique_products,revenue_per_customer,0.3392087574139814
is_summer,revenue_per_customer,0.06952117616402642
is_winter,revenue_per_customer,-0.34792009327441303
is_black_friday_month,revenue_per_customer,0.02493194674376294
revenue_per_order,revenue_per_customer,1.0
revenue_per_customer,revenue_per_customer,1.0
revenue_per_item,revenue_per_customer,0.9738917091007077
seasonal_avg_revenue,revenue_per_customer,0.24381623919022338
seasonal_index,revenue_per_customer,0.30696888336320793
revenue_3mo_avg,revenue_per_customer,0.3336399971466498
mom_growth_rate,revenue_per_customer,0.12864287229267582
monthly_revenue,revenue_per_item,0.3220409148237179
total_orders,revenue_per_item,0.3047622636429141
total_items_sold,revenue_per_item,0.3037436280448526
avg_order_value,revenue_per_item,1.0
unique_customers,revenue_per_item,0.3047622636429141
unique_products,revenue_per_item,0.3331774502183836
is_summer,revenue_per_item,0.0906096165360414
is_winter,revenue_per_item,-0.32904440725292056
is_black_friday_month,revenue_per_item,0.007054027055585581
revenue_per_order,revenue_per_item,0.9738917091007077
revenue_per_customer,revenue_per_item,0.9738917091007077
revenue_per_item,revenue_per_item,1.0
seasonal_avg_revenue,revenue_per_item,0.23791496685514849
seasonal_index,revenue_per_item,0.30082629423140994
revenue_3mo_avg,revenue_per_item,0.3815506505923157
mom_growth_rate,revenue_per_item,0.05208699961015336
monthly_revenue,seasonal_avg_revenue,0.5732689990814845
total_orders,seasonal_avg_revenue,0.5744503680166082
total_items_sold,seasonal_avg_revenue,0.5761340372697301
avg_order_value,seasonal_avg_revenue,0.23791496685514849
unique_customers,seasonal_avg_revenue,0.5744503680166082
unique_products,seasonal_avg_revenue,0.5927638112176892
is_summer,seasonal_avg_revenue,0.3614200764232741
is_winter,seasonal_avg_revenue,-0.23804660423551546
is_black_friday_month,seasonal_avg_revenue,0.4618980493169329
revenue_per_order,seasonal_avg_revenue,0.24381623919022338
revenue_per_customer,seasonal_avg_revenue,0.24381623919022338
revenue_per_item,seasonal_avg_revenue,0.23791496685514849
seasonal_avg_revenue,seasonal_avg_revenue,1.0
seasonal_index,seasonal_avg_revenue,-1.697279020138954e-16
revenue_3mo_avg,seasonal_avg_revenue,0.38400385172042023
mom_growth_rate,seasonal_avg_revenue,-0.06360796199416428
monthly_revenue,seasonal_index,0.7393239562418417
total_orders,seasonal_index,0.7312198571173167
total_items_sold,seasonal_index,0.7291032723686756
avg_order_value,seasonal_index,0.30082629423140994
unique_customers,seasonal_index,0.7312198571173167
unique_products,seasonal_index,0.7346130366247725
is_summer,seasonal_index,1.4596884581788204e-17
is_winter,seasonal_index,7.298442290894102e-18
is_black_friday_month,seasonal_index,2.96537355467958e-17
revenue_per_order,seasonal_index,0.30696888336320793
revenue_per_customer,seasonal_index,0.30696888336320793
revenue_per_item,seasonal_index,0.30082629423140994
seasonal_avg_revenue,seasonal_index,-1.697279020138954e-16
seasonal_index,seasonal_index,1.0
revenue_3mo_avg,seasonal_index,0.6901092413442194
mom_growth_rate,seasonal_index,-0.2553515186950378
monthly_revenue,revenue_3mo_avg,0.915778143602842
total_orders,revenue_3mo_avg,0.9126588543910356
total_items_sold,revenue_3mo_avg,0.9114767669298306
avg_order_value,revenue_3mo_avg,0.3815506505923157
unique_customers,revenue_3mo_avg,0.9126588543910356
unique_products,revenue_3mo_avg,0.9061313260939636
is_summer,revenue_3mo_avg,0.24081461274543312
is_winter,revenue_3mo_avg,-0.1674130351782746
is_black_friday_month,revenue_3mo_avg,0.1293556511216523
revenue_per_order,revenue_3mo_avg,0.3336399971466498
revenue_per_customer,revenue_3mo_avg,0.3336399971466498
revenue_per_item,revenue_3mo_avg,0.3815506505923157
seasonal_avg_revenue,revenue_3mo_avg,0.38400385172042023
seasonal_index,revenue_3mo_avg,0.6901092413442194
revenue_3mo_avg,revenue_3mo_avg,1.0
mom_growth_rate,revenue_3mo_avg,-0.36058486436680637
monthly_revenue,mom_growth_rate,-0.312543352117184
total_orders,mom_growth_rate,-0.3162723329842825
total_items_sold,mom_growth_rate,-0.3109570341031743
avg_order_value,mom_growth_rate,0.05208699961015336
unique_customers,mom_growth_rate,-0.3162723329842825
unique_products,mom_growth_rate,-0.3161716925111426
is_summer,mom_growth_rate,-0.1316576585357966
is_winter,mom_growth_rate,0.35436217048755336
is_black_friday_month,mom_growth_rate,-0.04716916919414014
revenue_per_order,mom_growth_rate,0.12864287229267582
revenue_per_customer,mom_growth_rate,0.12864287229267582
revenue_per_item,mom_growth_rate,0.05208699961015336
seasonal_avg_revenue,mom_growth_rate,-0.06360796199416428
seasonal_index,mom_growth_rate,-0.2553515186950378
revenue_3mo_avg,mom_growth_rate,-0.36058486436680637
mom_growth_rate,mom_growth_rate,1.0
